age,location_type,driving_points,years_driving_experience,vehicle_type,annual_mileage,credit_score,previous_claims,marital_status,policy_premium
51,Urban,0,33,Sedan,15346,694,0,Single,1176.5
71,Urban,3,53,Sedan,17659,620,1,Single,1477.4
71,Urban,1,53,Truck,12992,804,0,Married,764.9
20,Urban,1,2,SUV,9184,741,0,Married,1265.26
67,Urban,0,49,SUV,17998,699,1,Single,1298.47
29,Urban,3,11,Sedan,10407,682,0,Married,1354.8
18,Rural,1,0,SUV,15043,670,0,Married,1388.77
71,Suburban,0,53,Truck,13900,601,1,Married,1273.68
61,Urban,2,43,Truck,13365,613,1,Married,1636.41
22,Suburban,3,4,SUV,12052,795,0,Single,1245.44
47,Suburban,1,29,Sedan,16480,778,1,Married,1273.72
47,Urban,5,29,Sedan,5000,671,2,Married,2086.24
74,Urban,3,56,Sedan,18545,745,1,Single,1461.69
34,Urban,3,16,Sedan,10349,725,1,Single,1643.02
65,Urban,4,47,Sedan,15631,731,0,Single,1319.98
64,Suburban,1,46,Sedan,15420,628,1,Single,1350.54
40,Urban,2,22,Sedan,19099,609,0,Married,1685.34
32,Suburban,2,14,Sports,14790,759,0,Married,1472.05
54,Suburban,2,36,SUV,10683,601,0,Married,1424.56
38,Urban,2,20,Truck,7580,692,0,Married,1303.08
31,Suburban,3,13,Truck,12604,681,0,Single,1466.59
19,Urban,3,1,Sedan,6167,676,0,Married,1332.85
28,Rural,2,10,Truck,11486,715,0,Single,1187.31
68,Urban,3,50,Sedan,12829,666,0,Married,1109.71
56,Rural,1,38,SUV,11240,719,0,Single,865.71
55,Suburban,3,37,Sedan,14167,707,0,Married,1062.19
51,Urban,5,33,Sports,13055,804,0,Single,1736.93
55,Suburban,0,37,Sedan,12689,630,1,Single,1114.72
67,Rural,1,49,Sedan,5000,701,2,Single,1117.18
51,Suburban,2,33,Sports,8821,721,1,Married,1471.34
35,Rural,0,17,Sedan,16570,687,0,Married,793.5
47,Rural,2,29,SUV,17217,633,0,Single,1358.95
32,Urban,0,14,Truck,6644,762,1,Married,1170.92
44,Urban,2,26,Truck,10741,716,1,Married,1632.57
68,Suburban,1,50,Sports,18287,636,1,Married,1668.83
51,Urban,3,33,Sports,11127,721,0,Married,1698.08
69,Rural,2,51,Sedan,13554,785,0,Single,854.88
74,Rural,5,56,Truck,19767,698,1,Single,1576.53
55,Urban,3,37,SUV,12553,699,0,Married,1352.35
50,Urban,1,32,SUV,11981,778,1,Married,1419.89
41,Suburban,1,23,Sedan,13371,651,0,Married,1167.02
32,Urban,3,14,SUV,21413,786,0,Married,1577.46
47,Rural,0,29,Sports,15784,748,0,Single,1277.91
72,Urban,0,54,Sports,14076,653,0,Married,1234.42
59,Suburban,1,41,SUV,11902,666,0,Single,1080.81
68,Urban,1,50,Sedan,16155,673,1,Married,1260.95
34,Suburban,2,16,Sedan,16638,608,0,Married,1312.11
22,Urban,4,4,Truck,9707,713,0,Married,1687.86
46,Suburban,2,28,Truck,16746,656,0,Married,1478.87
21,Urban,6,3,SUV,13395,714,0,Single,2076.42
27,Suburban,1,9,Sedan,14099,635,0,Single,1266.09
73,Rural,2,55,SUV,10462,746,0,Married,827.75
34,Urban,1,16,SUV,12400,736,2,Married,1813.09
27,Urban,3,9,Sports,9879,664,0,Single,1971.16
34,Urban,3,16,SUV,9687,717,0,Married,1568.73
37,Suburban,2,19,Sedan,15508,704,1,Married,1437.43
41,Suburban,4,23,SUV,12579,774,0,Single,1462.16
22,Suburban,2,4,Sedan,8801,648,1,Single,1622.01
51,Urban,3,33,Sports,22708,692,0,Married,1753.9
23,Urban,2,5,Sedan,9501,667,0,Married,1414.84
